word,answer,comment
apple,りんご,果物
book,本,読むもの
computer,コンピュータ,情報処理
pen,ペン,書く道具
table,テーブル,家具
chair,いす,座るもの
dog,犬,動物
cat,猫,動物
car,車,乗り物
school,学校,勉強する場所
